"p","rho","method","coverage_classic","coverage_corrected"
0.001,0.01,"Agresti--Coull",0.8615,0.8572
0.001,0.01,"Clopper--Pearson",0.8838,0.8808
0.001,0.01,"Wald",0.791,0.7869
0.001,0.01,"Wilson",0.8615,0.8572
0.001,0.1,"Agresti--Coull",0.463,0.9865
0.001,0.1,"Clopper--Pearson",0.478,0.9843
0.001,0.1,"Wald",0.349,0.9096
0.001,0.1,"Wilson",0.463,0.9576
0.001,0.25,"Agresti--Coull",0.2415,0.9953
0.001,0.25,"Clopper--Pearson",0.2485,0.9916
0.001,0.25,"Wald",0.1774,0.6622
0.001,0.25,"Wilson",0.2415,0.973
0.01,0.01,"Agresti--Coull",0.4981,0.9884
0.01,0.01,"Clopper--Pearson",0.5093,0.9936
0.01,0.01,"Wald",0.4923,0.9829
0.01,0.01,"Wilson",0.4981,0.9846
0.01,0.1,"Agresti--Coull",0.1612,0.9711
0.01,0.1,"Clopper--Pearson",0.1654,0.9752
0.01,0.1,"Wald",0.1585,0.9005
0.01,0.1,"Wilson",0.1612,0.952
0.01,0.25,"Agresti--Coull",0.0883,0.9809
0.01,0.25,"Clopper--Pearson",0.0905,0.982
0.01,0.25,"Wald",0.0855,0.8089
0.01,0.25,"Wilson",0.0883,0.9542
0.05,0.01,"Agresti--Coull",0.3087,0.9585
0.05,0.01,"Clopper--Pearson",0.3115,0.9647
0.05,0.01,"Wald",0.3101,0.9467
0.05,0.01,"Wilson",0.3087,0.9549
0.05,0.1,"Agresti--Coull",0.0968,0.9611
0.05,0.1,"Clopper--Pearson",0.0976,0.9746
0.05,0.1,"Wald",0.0967,0.9139
0.05,0.1,"Wilson",0.0968,0.9496
0.05,0.25,"Agresti--Coull",0.0482,0.961
0.05,0.25,"Clopper--Pearson",0.0487,0.9786
0.05,0.25,"Wald",0.0482,0.8297
0.05,0.25,"Wilson",0.0482,0.9489
