"p","n","rho","rho_default","deff","n_eff"
0.001,1e+05,0.01,0,1,1e+05
0.001,1e+05,0.05,0.00112607417492173,113.606291417998,880.232940903458
0.001,1e+05,0.1,0.00207726622028113,208.724544761892,479.100338266769
0.001,1e+05,0.2,0.00545797083369778,546.791625398945,182.885024852089
0.001,1e+05,0.25,0.0100334772473415,1004.3376912569,99.568104304492
0.005,1e+05,0.01,0.000287402232391379,29.7399358369056,3362.48203588609
0.005,1e+05,0.05,0.00255037300422144,256.03475004914,390.571982829704
0.005,1e+05,0.1,0.00565054753653999,566.049103106462,176.663118890575
0.005,1e+05,0.2,0.0152947793097035,1530.46263619104,65.3397199221253
0.005,1e+05,0.25,0.0231150182336319,2312.47870834495,43.2436413961927
0.01,1e+05,0.01,0.00148883639958477,149.882151122077,667.190851287899
0.01,1e+05,0.05,0.0043714840114782,438.144029663809,228.235450513227
0.01,1e+05,0.1,0.00854364698577221,855.356154930235,116.910364675117
0.01,1e+05,0.2,0.0267070898621013,2671.68227912027,37.4296003613603
0.01,1e+05,0.25,0.0326122521296136,3262.19260070923,30.6542292991098
0.02,1e+05,0.01,0.000398213094975273,40.8209112844323,2449.72483106071
0.02,1e+05,0.05,0.00680550690768307,681.543885261399,146.725694650824
0.02,1e+05,0.1,0.0142072482156897,1421.71061432075,70.3378022170684
0.02,1e+05,0.2,0.0358003052213142,3580.9947218262,27.9252017297035
0.02,1e+05,0.25,0.0522142617483028,5222.37396056853,19.1483797895457
0.05,1e+05,0.01,0.00225596632526884,226.594376560558,441.317218537745
0.05,1e+05,0.05,0.0123718332089313,1238.17094905993,80.7642919387863
0.05,1e+05,0.1,0.0259158529344752,2592.55937759458,38.5719227355871
0.05,1e+05,0.2,0.0579349667717406,5794.43874220729,17.2579268586601
0.05,1e+05,0.25,0.0763086948008772,7631.79317139292,13.1030804627726
