"model","p","n","rho","method","lower_zero_rate"
"independent",0.001,10000,0,"Agresti_Coull",4e-04
"independent",0.001,10000,0,"Clopper_Pearson",0
"independent",0.001,10000,0,"Wald",0.0095
"independent",0.001,10000,0,"Wilson",0
"independent",0.005,10000,0,"Agresti_Coull",0
"independent",0.005,10000,0,"Clopper_Pearson",0
"independent",0.005,10000,0,"Wald",0
"independent",0.005,10000,0,"Wilson",0
"independent",0.01,10000,0,"Agresti_Coull",0
"independent",0.01,10000,0,"Clopper_Pearson",0
"independent",0.01,10000,0,"Wald",0
"independent",0.01,10000,0,"Wilson",0
"vasicek",0.001,10000,0.01,"Agresti_Coull",0.0059
"vasicek",0.001,10000,0.01,"Clopper_Pearson",0.001
"vasicek",0.001,10000,0.01,"Wald",0.0508
"vasicek",0.001,10000,0.01,"Wilson",0.001
"vasicek",0.001,10000,0.1,"Agresti_Coull",0.19
"vasicek",0.001,10000,0.1,"Clopper_Pearson",0.0838
"vasicek",0.001,10000,0.1,"Wald",0.3646
"vasicek",0.001,10000,0.1,"Wilson",0.0838
"vasicek",0.001,10000,0.25,"Agresti_Coull",0.4767
"vasicek",0.001,10000,0.25,"Clopper_Pearson",0.3377
"vasicek",0.001,10000,0.25,"Wald",0.6197
"vasicek",0.001,10000,0.25,"Wilson",0.3377
"vasicek",0.005,10000,0.01,"Agresti_Coull",0
"vasicek",0.005,10000,0.01,"Clopper_Pearson",0
"vasicek",0.005,10000,0.01,"Wald",0
"vasicek",0.005,10000,0.01,"Wilson",0
"vasicek",0.005,10000,0.1,"Agresti_Coull",0.0101
"vasicek",0.005,10000,0.1,"Clopper_Pearson",0.0033
"vasicek",0.005,10000,0.1,"Wald",0.034
"vasicek",0.005,10000,0.1,"Wilson",0.0033
"vasicek",0.005,10000,0.25,"Agresti_Coull",0.1516
"vasicek",0.005,10000,0.25,"Clopper_Pearson",0.0907
"vasicek",0.005,10000,0.25,"Wald",0.242
"vasicek",0.005,10000,0.25,"Wilson",0.0907
"vasicek",0.01,10000,0.01,"Agresti_Coull",0
"vasicek",0.01,10000,0.01,"Clopper_Pearson",0
"vasicek",0.01,10000,0.01,"Wald",0
"vasicek",0.01,10000,0.01,"Wilson",0
"vasicek",0.01,10000,0.1,"Agresti_Coull",5e-04
"vasicek",0.01,10000,0.1,"Clopper_Pearson",2e-04
"vasicek",0.01,10000,0.1,"Wald",0.0058
"vasicek",0.01,10000,0.1,"Wilson",2e-04
"vasicek",0.01,10000,0.25,"Agresti_Coull",0.0696
"vasicek",0.01,10000,0.25,"Clopper_Pearson",0.0375
"vasicek",0.01,10000,0.25,"Wald",0.1218
"vasicek",0.01,10000,0.25,"Wilson",0.0375
